combo,size,matches,avg_points,avg_score_final
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,8,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,8,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,8,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,8,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,8,3,3.0,85.1
Adam Karabec + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,8,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,8,3,3.0,85.1
Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,8,3,2.33,70.91
Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Dominik Greif + Moussa Niakhate + Tyler Morton,8,3,2.33,70.91
Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico,8,3,2.33,70.91
Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Martin Satriano + Moussa Niakhate + Tyler Morton,8,3,2.33,70.91
Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico,8,3,2.33,70.91
Abner + Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Martin Satriano + Moussa Niakhate + Tyler Morton,8,3,2.33,70.91
