combo,size,matches,avg_points,avg_score_final
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,6,3,3.0,85.1
Adam Karabec + Ainsley Maitland-Niles + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,6,3,3.0,85.1
Adam Karabec + Clinton Mata + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Adam Karabec + Clinton Mata + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Adam Karabec + Clinton Mata + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,6,3,3.0,85.1
Adam Karabec + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Adam Karabec + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,6,3,3.0,85.1
Adam Karabec + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,6,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,6,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,6,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,6,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,6,3,3.0,85.1
Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,6,3,3.0,85.1
Ainsley Maitland-Niles + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,6,3,3.0,85.1
Ainsley Maitland-Niles + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,6,3,3.0,85.1
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,6,3,3.0,85.1
