combo,size,matches,avg_points,avg_score_final
Ainsley Maitland-Niles + Martin Satriano + Tyler Morton,3,3,2.33,71.41
Clinton Mata + Martin Satriano + Tyler Morton,3,5,2.0,64.41
Abner + Adam Karabec + Malick Fofana,3,3,2.0,60.57
Adam Karabec + Malick Fofana + Martin Satriano,3,3,2.0,60.47
Ainsley Maitland-Niles + Malick Fofana + Martin Satriano,3,3,2.0,60.47
Clinton Mata + Malick Fofana + Martin Satriano,3,3,2.0,60.47
Corentin Tolisso + Malick Fofana + Martin Satriano,3,3,2.0,60.47
Dominik Greif + Malick Fofana + Martin Satriano,3,3,2.0,60.47
Ainsley Maitland-Niles + Clinton Mata + Ruben Kluivert,3,3,2.0,59.47
Ainsley Maitland-Niles + Dominik Greif + Ruben Kluivert,3,3,2.0,59.47
Ainsley Maitland-Niles + Ruben Kluivert + Tyler Morton,3,3,2.0,59.47
Clinton Mata + Dominik Greif + Ruben Kluivert,3,3,2.0,59.47
Clinton Mata + Ruben Kluivert + Tyler Morton,3,3,2.0,59.47
Dominik Greif + Ruben Kluivert + Tyler Morton,3,3,2.0,59.47
Clinton Mata + Martin Satriano + Nicolás Tagliafico,3,4,1.75,61.43
Martin Satriano + Nicolás Tagliafico + Tyler Morton,3,4,1.75,59.56
Abner + Clinton Mata + Martin Satriano,3,4,1.75,58.13
Adam Karabec + Ainsley Maitland-Niles + Martin Satriano,3,4,1.75,57.23
Adam Karabec + Clinton Mata + Martin Satriano,3,4,1.75,57.23
Adam Karabec + Corentin Tolisso + Martin Satriano,3,4,1.75,57.23
Adam Karabec + Dominik Greif + Martin Satriano,3,4,1.75,57.23
Abner + Adam Karabec + Tyler Morton,3,4,1.75,56.48
Ainsley Maitland-Niles + Martin Satriano + Pavel Šulc,3,3,1.67,58.32
Abner + Adam Karabec + Dominik Greif,3,3,1.67,56.32
Abner + Adam Karabec + Pavel Šulc,3,3,1.67,56.32
Corentin Tolisso + Martin Satriano + Tyler Morton,3,6,1.67,55.32
Dominik Greif + Martin Satriano + Tyler Morton,3,6,1.67,55.32
Clinton Mata + Martin Satriano + Pavel Šulc,3,5,1.6,56.55
Ainsley Maitland-Niles + Clinton Mata + Martin Satriano,3,5,1.6,55.83
Ainsley Maitland-Niles + Corentin Tolisso + Martin Satriano,3,5,1.6,55.83
Ainsley Maitland-Niles + Dominik Greif + Martin Satriano,3,5,1.6,55.83
Abner + Adam Karabec + Ainsley Maitland-Niles,3,5,1.6,54.69
