combo,size,matches,avg_points,avg_score_final
Adam Karabec + Ainsley Maitland-Niles + Rachid Ghezzal + Ruben Kluivert,4,3,3.0,85.1
Adam Karabec + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,4,3,3.0,85.1
Ainsley Maitland-Niles + Clinton Mata + Rachid Ghezzal + Ruben Kluivert,4,3,3.0,85.1
Ainsley Maitland-Niles + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert,4,3,3.0,85.1
Ainsley Maitland-Niles + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,4,3,3.0,85.1
Ainsley Maitland-Niles + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,4,3,3.0,85.1
Ainsley Maitland-Niles + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,4,3,3.0,85.1
Clinton Mata + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,4,3,3.0,85.1
Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,4,3,3.0,85.1
Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,4,3,3.0,85.1
Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann + Tyler Morton,4,3,3.0,85.1
Adam Karabec + Clinton Mata + Rachid Ghezzal + Ruben Kluivert,4,4,2.25,67.95
Adam Karabec + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert,4,4,2.25,67.95
Adam Karabec + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,4,4,2.25,67.95
Adam Karabec + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,4,4,2.25,67.95
Clinton Mata + Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert,4,4,2.25,67.95
Clinton Mata + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,4,4,2.25,67.95
Clinton Mata + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,4,4,2.25,67.95
Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,4,4,2.25,67.95
Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,4,4,2.25,67.95
Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert + Tyler Morton,4,4,2.25,67.95
Adam Karabec + Ainsley Maitland-Niles + Rachid Ghezzal + Tyler Morton,4,4,2.25,67.88
Adam Karabec + Rachid Ghezzal + Tanner Tessmann + Tyler Morton,4,4,2.25,67.88
