combo,size,matches,avg_points,avg_score_final
Clinton Mata + Corentin Tolisso + Martin Satriano + Nicolás Tagliafico + Tyler Morton,5,3,2.33,76.11
Clinton Mata + Dominik Greif + Martin Satriano + Nicolás Tagliafico + Tyler Morton,5,3,2.33,76.11
Clinton Mata + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,5,3,2.33,76.11
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Martin Satriano + Tyler Morton,5,3,2.33,71.41
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Martin Satriano + Tyler Morton,5,3,2.33,71.41
Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Martin Satriano + Tyler Morton,5,3,2.33,71.41
Clinton Mata + Corentin Tolisso + Dominik Greif + Martin Satriano + Tyler Morton,5,5,2.0,64.41
Abner + Clinton Mata + Corentin Tolisso + Martin Satriano + Tyler Morton,5,3,2.0,61.67
Abner + Clinton Mata + Dominik Greif + Martin Satriano + Tyler Morton,5,3,2.0,61.67
Abner + Clinton Mata + Martin Satriano + Pavel Šulc + Tyler Morton,5,3,2.0,61.67
Abner + Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Malick Fofana,5,3,2.0,60.57
Abner + Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana,5,3,2.0,60.57
Abner + Adam Karabec + Ainsley Maitland-Niles + Malick Fofana + Tyler Morton,5,3,2.0,60.57
Abner + Adam Karabec + Clinton Mata + Corentin Tolisso + Malick Fofana,5,3,2.0,60.57
Abner + Adam Karabec + Clinton Mata + Malick Fofana + Tyler Morton,5,3,2.0,60.57
Abner + Adam Karabec + Corentin Tolisso + Malick Fofana + Tyler Morton,5,3,2.0,60.57
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Adam Karabec + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Adam Karabec + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Adam Karabec + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano,5,3,2.0,60.47
Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Martin Satriano,5,3,2.0,60.47
