combo,size,matches,avg_points,avg_score_final
Adam Karabec + Malick Fofana,2,9,1.0,38.7
Ainsley Maitland-Niles + Malick Fofana,2,9,1.0,38.7
Clinton Mata + Malick Fofana,2,9,1.0,38.7
Corentin Tolisso + Malick Fofana,2,9,1.0,38.7
Malick Fofana + Moussa Niakhate,2,9,1.0,38.7
Malick Fofana + Pavel Šulc,2,9,1.0,38.7
Malick Fofana + Tanner Tessmann,2,9,1.0,38.7
Adam Karabec + Tyler Morton,2,13,1.0,38.67
Khalis Merah + Ruben Kluivert,2,6,1.0,38.23
Abner + Tyler Morton,2,10,1.0,38.11
Ruben Kluivert + Rémy Descamps,2,3,1.0,37.23
Abner + Nicolás Tagliafico,2,7,1.0,36.78
Abner + Ruben Kluivert,2,6,1.0,36.28
Pavel Šulc + Ruben Kluivert,2,6,1.0,36.28
Afonso Moreira + Ruben Kluivert,2,6,1.0,36.23
Martin Satriano + Ruben Kluivert,2,3,1.0,35.33
Corentin Tolisso + Pavel Šulc,2,16,0.94,38.77
Adam Karabec + Corentin Tolisso,2,15,0.93,37.84
Afonso Moreira + Tanner Tessmann,2,13,0.92,38.01
Nicolás Tagliafico + Pavel Šulc,2,12,0.92,37.42
Nicolás Tagliafico + Tanner Tessmann,2,12,0.92,37.22
Adam Karabec + Nicolás Tagliafico,2,11,0.91,36.04
Adam Karabec + Martin Satriano,2,9,0.89,36.45
Abner + Afonso Moreira,2,9,0.89,35.72
Abner + Tanner Tessmann,2,9,0.89,35.65
Afonso Moreira + Pavel Šulc,2,14,0.86,36.65
Pavel Šulc + Tanner Tessmann,2,14,0.86,36.61
Afonso Moreira + Malick Fofana,2,7,0.86,34.44
Malick Fofana + Nicolás Tagliafico,2,7,0.86,34.44
Adam Karabec + Afonso Moreira,2,13,0.85,35.42
Martin Satriano + Rachid Ghezzal,2,5,0.8,35.51
Abner + Adam Karabec,2,10,0.8,33.74
Adam Karabec + Pavel Šulc,2,14,0.79,34.2
Clinton Mata + Mathys De Carvalho,2,8,0.75,38.05
Ainsley Maitland-Niles + Mathys De Carvalho,2,8,0.75,37.22
Martin Satriano + Mathys De Carvalho,2,8,0.75,36.66
Abner + Rémy Descamps,2,4,0.75,32.42
Adam Karabec + Rémy Descamps,2,4,0.75,32.42
Ainsley Maitland-Niles + Rémy Descamps,2,4,0.75,32.42
Clinton Mata + Rémy Descamps,2,4,0.75,32.42
Corentin Tolisso + Rémy Descamps,2,4,0.75,32.42
Khalis Merah + Rémy Descamps,2,4,0.75,32.42
Malick Fofana + Rémy Descamps,2,4,0.75,32.42
Moussa Niakhate + Rémy Descamps,2,4,0.75,32.42
Pavel Šulc + Rémy Descamps,2,4,0.75,32.42
Rémy Descamps + Tanner Tessmann,2,4,0.75,32.42
Rémy Descamps + Tyler Morton,2,4,0.75,32.42
Mathys De Carvalho + Nicolás Tagliafico,2,7,0.71,35.75
Mathys De Carvalho + Tyler Morton,2,7,0.71,35.62
Clinton Mata + Khalis Merah,2,10,0.7,33.33
Khalis Merah + Moussa Niakhate,2,10,0.7,33.09
Ainsley Maitland-Niles + Khalis Merah,2,10,0.7,32.67
Khalis Merah + Tanner Tessmann,2,10,0.7,32.67
Afonso Moreira + Mathys De Carvalho,2,9,0.67,34.92
Corentin Tolisso + Mathys De Carvalho,2,9,0.67,34.92
Dominik Greif + Mathys De Carvalho,2,9,0.67,34.92
Mathys De Carvalho + Moussa Niakhate,2,9,0.67,34.92
Mathys De Carvalho + Pavel Šulc,2,9,0.67,34.92
Hans Hateboer + Tanner Tessmann,2,3,0.67,34.79
Khalis Merah + Tyler Morton,2,9,0.67,30.92
Adam Karabec + Khalis Merah,2,11,0.64,31.2
Corentin Tolisso + Khalis Merah,2,11,0.64,31.2
Dominik Greif + Khalis Merah,2,7,0.57,30.5
Khalis Merah + Malick Fofana,2,6,0.5,28.02
Abner + Khalis Merah,2,8,0.5,26.99
Afonso Moreira + Khalis Merah,2,9,0.44,26.23
Mathys De Carvalho + Tanner Tessmann,2,7,0.43,29.5
Khalis Merah + Nicolás Tagliafico,2,7,0.43,24.57
Khalis Merah + Pavel Šulc,2,10,0.4,25.43
Adam Karabec + Hans Hateboer,2,3,0.33,23.54
Adam Karabec + Mathys De Carvalho,2,7,0.29,24.68
Mathys De Carvalho + Rachid Ghezzal,2,4,0.25,25.08
Khalis Merah + Mathys De Carvalho,2,5,0.2,22.47
Khalis Merah + Martin Satriano,2,5,0.2,20.73
Malick Fofana + Mathys De Carvalho,2,3,0.0,18.2
