combo,size,matches,avg_points,avg_score_final
Dominik Greif + Tyler Morton,2,11,1.27,51.52
Clinton Mata + Hans Hateboer,2,4,1.25,52.06
Dominik Greif + Pavel Šulc,2,12,1.25,51.32
Ainsley Maitland-Niles + Dominik Greif,2,12,1.25,51.27
Adam Karabec + Tyler Morton,2,13,1.23,49.69
Adam Karabec + Martin Satriano,2,9,1.22,50.36
Adam Karabec + Pavel Šulc,2,14,1.21,49.64
Moussa Niakhate + Tyler Morton,2,14,1.21,49.64
Adam Karabec + Ainsley Maitland-Niles,2,14,1.21,49.6
Adam Karabec + Tanner Tessmann,2,14,1.21,49.6
Clinton Mata + Tyler Morton,2,14,1.21,49.47
Martin Satriano + Moussa Niakhate,2,10,1.2,50.23
Clinton Mata + Martin Satriano,2,10,1.2,49.99
Abner + Malick Fofana,2,5,1.2,49.66
Ainsley Maitland-Niles + Tanner Tessmann,2,15,1.2,49.64
Corentin Tolisso + Tanner Tessmann,2,15,1.2,49.64
Moussa Niakhate + Pavel Šulc,2,15,1.2,49.6
Ainsley Maitland-Niles + Moussa Niakhate,2,15,1.2,49.56
Clinton Mata + Pavel Šulc,2,15,1.2,49.44
Ainsley Maitland-Niles + Clinton Mata,2,15,1.2,49.4
Adam Karabec + Khalis Merah,2,11,1.18,47.86
Corentin Tolisso + Khalis Merah,2,11,1.18,47.86
Afonso Moreira + Dominik Greif,2,13,1.15,48.59
Corentin Tolisso + Dominik Greif,2,13,1.15,48.59
Adam Karabec + Mathys De Carvalho,2,7,1.14,48.02
Adam Karabec + Corentin Tolisso,2,15,1.13,47.39
Clinton Mata + Mathys De Carvalho,2,8,1.12,47.85
Corentin Tolisso + Moussa Niakhate,2,16,1.12,47.49
Clinton Mata + Corentin Tolisso,2,16,1.12,47.34
Malick Fofana + Tyler Morton,2,8,1.12,46.99
Dominik Greif + Tanner Tessmann,2,11,1.09,47.63
Moussa Niakhate + Tanner Tessmann,2,14,1.07,46.58
Clinton Mata + Tanner Tessmann,2,14,1.07,46.41
Martin Satriano + Ruben Kluivert,2,3,1.0,45.53
Dominik Greif + Moussa Niakhate,2,12,1.0,44.93
Clinton Mata + Dominik Greif,2,12,1.0,44.73
Adam Karabec + Dominik Greif,2,11,1.0,44.56
Clinton Mata + Moussa Niakhate,2,15,1.0,44.33
Adam Karabec + Moussa Niakhate,2,14,1.0,44.17
Adam Karabec + Clinton Mata,2,14,1.0,44.0
Moussa Niakhate + Ruben Kluivert,2,6,1.0,43.78
Adam Karabec + Malick Fofana,2,9,1.0,43.7
Ainsley Maitland-Niles + Malick Fofana,2,9,1.0,43.7
Clinton Mata + Malick Fofana,2,9,1.0,43.7
Corentin Tolisso + Malick Fofana,2,9,1.0,43.7
Malick Fofana + Moussa Niakhate,2,9,1.0,43.7
Malick Fofana + Pavel Šulc,2,9,1.0,43.7
Malick Fofana + Tanner Tessmann,2,9,1.0,43.7
Dominik Greif + Khalis Merah,2,7,1.0,43.68
Khalis Merah + Moussa Niakhate,2,10,1.0,43.39
Khalis Merah + Malick Fofana,2,6,1.0,43.18
Mathys De Carvalho + Rachid Ghezzal,2,4,1.0,43.18
Clinton Mata + Khalis Merah,2,10,1.0,43.15
Malick Fofana + Mathys De Carvalho,2,3,1.0,42.33
Martin Satriano + Rachid Ghezzal,2,5,0.8,40.07
Nicolás Tagliafico + Rachid Ghezzal,2,5,0.8,39.95
Khalis Merah + Mathys De Carvalho,2,5,0.8,39.47
Dominik Greif + Ruben Kluivert,2,4,0.75,38.12
Malick Fofana + Martin Satriano,2,4,0.75,37.9
Malick Fofana + Rachid Ghezzal,2,4,0.75,37.3
Afonso Moreira + Rachid Ghezzal,2,6,0.67,36.04
Dominik Greif + Rachid Ghezzal,2,6,0.67,36.04
Pavel Šulc + Rachid Ghezzal,2,6,0.67,35.99
Ainsley Maitland-Niles + Rachid Ghezzal,2,6,0.67,35.89
Rachid Ghezzal + Tanner Tessmann,2,6,0.67,35.89
Rachid Ghezzal + Tyler Morton,2,6,0.67,35.74
Dominik Greif + Malick Fofana,2,5,0.6,34.52
Clinton Mata + Rachid Ghezzal,2,7,0.57,33.12
Corentin Tolisso + Rachid Ghezzal,2,7,0.57,33.12
Moussa Niakhate + Rachid Ghezzal,2,7,0.57,33.12
Adam Karabec + Rachid Ghezzal,2,6,0.5,30.27
Abner + Rachid Ghezzal,2,3,0.0,19.9
Rachid Ghezzal + Ruben Kluivert,2,4,0.0,18.9
Khalis Merah + Rachid Ghezzal,2,4,0.0,16.35
