match_key,player,pos,age,minutes_played,goals,assists,xg,xag,is_starter
2025-09-19_lyon,Enzo Molebe,FW,18-001,10,0,0,0.0,0.0,False
2025-09-19_lyon,Afonso Moreira,LW,20-184,1,0,0,0.0,0.0,False
2025-09-19_lyon,Rachid Ghezzal,RW,33-133,1,0,0,0.0,0.0,False
2025-09-28_lyon,Clinton Mata,CB,32-325,90,0,0,0.0,0.0,True
2025-09-28_lyon,Ainsley Maitland-Niles,RB,28-030,90,0,0,0.0,0.0,True
2025-09-28_lyon,Corentin Tolisso,LM,31-056,90,0,0,0.0,0.0,True
2025-09-28_lyon,Dominik Greif,GK,28-175,90,0,0,0.0,0.0,True
2025-09-28_lyon,Tyler Morton,RM,22-332,90,1,0,0.3,0.0,True
2025-09-28_lyon,Moussa Niakhate,CB,29-204,90,0,0,0.0,0.1,True
2025-09-28_lyon,Tanner Tessmann,CM,24-004,90,0,0,0.0,0.0,True
2025-09-28_lyon,Nicolás Tagliafico,LB,33-028,90,0,1,0.0,0.4,True
2025-09-28_lyon,Malick Fofana,LW,20-181,89,0,0,0.1,0.0,True
2025-09-28_lyon,Adam Karabec,RW,22-088,74,0,0,0.0,0.0,True
2025-09-28_lyon,Khalis Merah,FW,18-216,74,0,0,0.0,0.0,True
2025-09-28_lyon,Afonso Moreira,RW,20-193,16,0,0,0.0,0.0,False
2025-09-28_lyon,Pavel Šulc,FW,24-273,16,0,0,0.1,0.0,False
2025-09-28_lyon,Mathys De Carvalho,LW,20-150,1,0,0,0.0,0.0,False
2025-10-05_lyon,Ainsley Maitland-Niles,RB,28-037,90,0,0,0.0,0.0,True
2025-10-05_lyon,Corentin Tolisso,AM,31-063,90,0,0,0.2,0.3,True
2025-10-05_lyon,Clinton Mata,CB,32-332,90,0,0,0.0,0.0,True
2025-10-05_lyon,Malick Fofana,LW,20-188,90,1,0,0.8,0.1,True
2025-10-05_lyon,Dominik Greif,GK,28-182,90,0,0,0.0,0.0,True
2025-10-05_lyon,Nicolás Tagliafico,LB,33-035,90,0,0,0.0,0.0,True
2025-10-05_lyon,Tyler Morton,DM,22-339,90,0,0,0.0,0.1,True
2025-10-05_lyon,Martin Satriano,FW,24-227,90,0,1,0.1,0.4,True
2025-10-05_lyon,Moussa Niakhate,CB,29-211,90,0,0,0.0,0.0,True
2025-10-05_lyon,Tanner Tessmann,DM,24-011,89,0,0,0.0,0.0,True
2025-10-05_lyon,Adam Karabec,RW,22-095,77,0,0,0.0,0.2,True
2025-10-05_lyon,Afonso Moreira,RW,20-200,13,0,0,0.0,0.0,False
2025-10-05_lyon,Pavel Šulc,DM,24-280,1,0,0,0.0,0.0,False
2025-10-18_lyon,Ainsley Maitland-Niles,RB,28-050,90,0,0,0.8,0.7,True
2025-10-18_lyon,Corentin Tolisso,DM,31-076,90,0,0,0.5,0.0,True
2025-10-18_lyon,Dominik Greif,GK,28-195,90,0,0,0.0,0.0,True
2025-10-18_lyon,Martin Satriano,FW,24-240,90,0,0,0.2,0.1,True
2025-10-18_lyon,Pavel Šulc,AM,24-293,90,2,0,0.7,0.3,True
2025-10-18_lyon,Ruben Kluivert,CB,24-150,90,0,1,0.0,0.1,True
2025-10-18_lyon,Malick Fofana,LW,20-201,76,0,0,0.1,0.0,True
2025-10-18_lyon,Clinton Mata,CB,32-345,76,0,0,0.0,0.0,True
2025-10-18_lyon,Tyler Morton,DM,22-352,76,0,0,0.1,0.1,True
2025-10-18_lyon,Abner,LB,25-144,67,0,0,0.1,0.0,True
2025-10-18_lyon,Adam Karabec,RW,22-108,67,0,0,0.0,0.1,True
2025-10-18_lyon,Rachid Ghezzal,RW,33-162,23,0,0,0.0,0.0,False
2025-10-18_lyon,Nicolás Tagliafico,LB,33-048,23,0,0,0.6,0.0,False
2025-10-18_lyon,Afonso Moreira,LW,20-213,14,0,0,0.0,0.0,False
2025-10-18_lyon,Moussa Niakhate,CB,29-224,14,0,0,0.0,0.0,False
2025-10-18_lyon,Tanner Tessmann,DM,24-024,14,0,0,0.1,0.1,False
2025-10-26_lyon,Ainsley Maitland-Niles,RB,28-058,90,0,0,0.0,0.0,True
2025-10-26_lyon,Corentin Tolisso,LM,31-084,90,0,0,0.8,0.1,True
2025-10-26_lyon,Clinton Mata,CB,32-353,90,0,0,0.0,0.0,True
2025-10-26_lyon,Dominik Greif,GK,28-203,90,0,0,0.0,0.0,True
2025-10-26_lyon,Tyler Morton,RM,22-360,90,0,0,0.0,0.0,True
2025-10-26_lyon,Moussa Niakhate,CB,29-232,90,0,1,0.0,0.0,True
2025-10-26_lyon,Nicolás Tagliafico,LB,33-056,90,0,0,0.0,0.0,True
2025-10-26_lyon,Tanner Tessmann,CM,24-032,89,0,0,0.0,0.4,True
2025-10-26_lyon,Pavel Šulc,FW,24-301,76,0,0,0.4,0.0,True
2025-10-26_lyon,Adam Karabec,RW,22-116,76,0,0,0.0,0.0,True
2025-10-26_lyon,Malick Fofana,LW,20-209,67,0,0,0.1,0.0,True
2025-10-26_lyon,Afonso Moreira,LW,20-221,23,1,0,0.1,0.0,False
