match_key,combo,size
2526_2025-08-16 Lens-Lyon,Abner + Corentin Tolisso + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Abner + Corentin Tolisso + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Abner + Georges Mikautadze + Malick Fofana,3
2526_2025-08-16 Lens-Lyon,Abner + Georges Mikautadze + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Abner + Georges Mikautadze + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Abner + Georges Mikautadze + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Abner + Georges Mikautadze + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Abner + Georges Mikautadze + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Abner + Malick Fofana + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Abner + Malick Fofana + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Abner + Malick Fofana + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Abner + Malick Fofana + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Abner + Malick Fofana + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Abner + Moussa Niakhate + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Abner + Moussa Niakhate + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Abner + Moussa Niakhate + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Abner + Moussa Niakhate + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Abner + Rémy Descamps + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Abner + Rémy Descamps + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Abner + Rémy Descamps + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Abner + Sael Kumbedi + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Abner + Sael Kumbedi + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Abner + Tanner Tessmann + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Georges Mikautadze,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Malick Fofana,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Rémy Descamps,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Sael Kumbedi,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Tanner Tessmann,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Clinton Mata + Tyler Morton,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso + Georges Mikautadze,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate,3
2526_2025-08-16 Lens-Lyon,Ainsley Maitland-Niles + Corentin Tolisso + Rémy Descamps,3
