combo,size,matches_together
Adam Karabec + Ainsley Maitland-Niles + Moussa Niakhate + Pavel Šulc + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Moussa Niakhate + Pavel Šulc,4,2
Afonso Moreira + Clinton Mata + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze,4,2
Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate + Pavel Šulc,4,2
Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate + Pavel Šulc + Tanner Tessmann,5,2
Ainsley Maitland-Niles + Malick Fofana + Moussa Niakhate + Pavel Šulc + Tyler Morton,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Moussa Niakhate,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Rémy Descamps,5,2
Abner + Clinton Mata + Ruben Kluivert + Tyler Morton,4,2
Abner + Clinton Mata + Ruben Kluivert,3,2
Adam Karabec + Martin Satriano + Tyler Morton,3,2
Abner + Clinton Mata + Pavel Šulc + Ruben Kluivert + Tyler Morton,5,2
Abner + Clinton Mata + Pavel Šulc + Ruben Kluivert,4,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Tanner Tessmann,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Tyler Morton,5,2
Abner + Dominik Greif + Tanner Tessmann,3,2
Ainsley Maitland-Niles + Malick Fofana + Pavel Šulc + Tanner Tessmann,4,2
Ainsley Maitland-Niles + Malick Fofana + Pavel Šulc + Tanner Tessmann + Tyler Morton,5,2
Adam Karabec + Clinton Mata + Rémy Descamps + Tanner Tessmann,4,2
Abner + Dominik Greif + Ruben Kluivert + Tyler Morton,4,2
Adam Karabec + Clinton Mata + Rémy Descamps + Tanner Tessmann + Tyler Morton,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Khalis Merah + Rémy Descamps,5,2
Abner + Dominik Greif + Ruben Kluivert,3,2
Abner + Clinton Mata + Nicolás Tagliafico + Tyler Morton,4,2
Afonso Moreira + Clinton Mata + Martin Satriano + Moussa Niakhate + Pavel Šulc,5,2
Abner + Clinton Mata + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,5,2
Abner + Clinton Mata + Nicolás Tagliafico + Pavel Šulc,4,2
Abner + Clinton Mata + Nicolás Tagliafico,3,2
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Ruben Kluivert,5,2
Ainsley Maitland-Niles + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann,5,2
Ainsley Maitland-Niles + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,5,2
Abner + Dominik Greif + Pavel Šulc + Ruben Kluivert + Tyler Morton,5,2
Ainsley Maitland-Niles + Martin Satriano + Moussa Niakhate + Tyler Morton,4,2
Afonso Moreira + Corentin Tolisso + Martin Satriano + Pavel Šulc,4,2
Ainsley Maitland-Niles + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann,4,2
Ainsley Maitland-Niles + Martin Satriano + Nicolás Tagliafico + Tyler Morton,4,2
Ainsley Maitland-Niles + Martin Satriano + Pavel Šulc,3,2
Ainsley Maitland-Niles + Martin Satriano + Pavel Šulc + Tyler Morton,4,2
Abner + Dominik Greif + Pavel Šulc + Ruben Kluivert,4,2
Adam Karabec + Clinton Mata + Martin Satriano + Tyler Morton,4,2
Adam Karabec + Ainsley Maitland-Niles + Martin Satriano + Tyler Morton,4,2
Afonso Moreira + Clinton Mata + Dominik Greif + Martin Satriano + Tyler Morton,5,2
Ainsley Maitland-Niles + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc,4,2
Ainsley Maitland-Niles + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,5,2
Afonso Moreira + Clinton Mata + Dominik Greif + Martin Satriano + Pavel Šulc,5,2
Adam Karabec + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann,4,2
Adam Karabec + Martin Satriano + Nicolás Tagliafico,3,2
Adam Karabec + Ainsley Maitland-Niles + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann,5,2
Ainsley Maitland-Niles + Moussa Niakhate + Pavel Šulc + Tanner Tessmann,4,2
Ainsley Maitland-Niles + Moussa Niakhate + Pavel Šulc + Tanner Tessmann + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Martin Satriano + Nicolás Tagliafico,4,2
Adam Karabec + Ainsley Maitland-Niles + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico,5,2
Adam Karabec + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann,5,2
Abner + Clinton Mata + Martin Satriano + Moussa Niakhate + Tyler Morton,5,2
Adam Karabec + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico,4,2
Abner + Clinton Mata + Martin Satriano + Moussa Niakhate + Pavel Šulc,5,2
Adam Karabec + Ainsley Maitland-Niles + Malick Fofana + Pavel Šulc + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Malick Fofana + Pavel Šulc,4,2
Abner + Clinton Mata + Malick Fofana + Pavel Šulc + Tyler Morton,5,2
Afonso Moreira + Corentin Tolisso + Martin Satriano + Pavel Šulc + Tyler Morton,5,2
Afonso Moreira + Corentin Tolisso + Martin Satriano + Tyler Morton,4,2
Ainsley Maitland-Niles + Nicolás Tagliafico + Ruben Kluivert,3,2
Ainsley Maitland-Niles + Nicolás Tagliafico + Ruben Kluivert + Tyler Morton,4,2
Abner + Clinton Mata + Malick Fofana + Pavel Šulc,4,2
Adam Karabec + Ainsley Maitland-Niles + Malick Fofana + Martin Satriano + Tyler Morton,5,2
Abner + Clinton Mata + Khalis Merah + Tanner Tessmann + Tyler Morton,5,2
Abner + Clinton Mata + Khalis Merah + Tanner Tessmann,4,2
Ainsley Maitland-Niles + Pavel Šulc + Ruben Kluivert,3,2
Ainsley Maitland-Niles + Pavel Šulc + Ruben Kluivert + Tyler Morton,4,2
Ainsley Maitland-Niles + Pavel Šulc + Tanner Tessmann,3,2
Ainsley Maitland-Niles + Pavel Šulc + Tanner Tessmann + Tyler Morton,4,2
Abner + Clinton Mata + Khalis Merah + Rémy Descamps + Tyler Morton,5,2
Afonso Moreira + Clinton Mata + Martin Satriano + Tyler Morton,4,2
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Martin Satriano,5,2
Abner + Clinton Mata + Khalis Merah + Rémy Descamps + Tanner Tessmann,5,2
Abner + Clinton Mata + Khalis Merah + Rémy Descamps,4,2
Adam Karabec + Ainsley Maitland-Niles + Malick Fofana + Martin Satriano + Tanner Tessmann,5,2
Afonso Moreira + Clinton Mata + Dominik Greif + Khalis Merah + Ruben Kluivert,5,2
Abner + Clinton Mata + Khalis Merah + Pavel Šulc + Tyler Morton,5,2
Afonso Moreira + Corentin Tolisso + Dominik Greif + Khalis Merah + Pavel Šulc,5,2
Abner + Clinton Mata + Khalis Merah + Pavel Šulc,4,2
Adam Karabec + Ainsley Maitland-Niles + Malick Fofana + Martin Satriano + Nicolás Tagliafico,5,2
Adam Karabec + Ainsley Maitland-Niles + Malick Fofana + Martin Satriano + Moussa Niakhate,5,2
Abner + Clinton Mata + Khalis Merah + Moussa Niakhate + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Malick Fofana,5,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Martin Satriano,5,2
Abner + Dominik Greif + Moussa Niakhate + Tanner Tessmann,4,2
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Khalis Merah,5,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Pavel Šulc,5,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah + Tanner Tessmann,5,2
Abner + Georges Mikautadze + Moussa Niakhate + Rémy Descamps + Tyler Morton,5,2
Abner + Clinton Mata + Khalis Merah + Moussa Niakhate + Rémy Descamps,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Martin Satriano + Pavel Šulc,5,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Rémy Descamps + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Rémy Descamps + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Malick Fofana + Pavel Šulc,5,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Rémy Descamps,4,2
Afonso Moreira + Ainsley Maitland-Niles + Martin Satriano + Moussa Niakhate,4,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico + Tanner Tessmann,5,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico,4,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Moussa Niakhate + Rémy Descamps,5,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Moussa Niakhate + Nicolás Tagliafico,5,2
Afonso Moreira + Ainsley Maitland-Niles + Nicolás Tagliafico + Ruben Kluivert,4,2
Afonso Moreira + Ainsley Maitland-Niles + Martin Satriano,3,2
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah + Tyler Morton,4,2
Adam Karabec + Malick Fofana + Pavel Šulc + Tyler Morton,4,2
Afonso Moreira + Clinton Mata + Dominik Greif + Khalis Merah + Pavel Šulc,5,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Malick Fofana + Tyler Morton,5,2
Afonso Moreira + Clinton Mata + Dominik Greif + Khalis Merah + Nicolás Tagliafico,5,2
Adam Karabec + Ainsley Maitland-Niles + Khalis Merah + Malick Fofana + Nicolás Tagliafico,5,2
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah + Ruben Kluivert + Tyler Morton,5,2
Abner + Clinton Mata + Georges Mikautadze + Tyler Morton,4,2
Abner + Clinton Mata + Georges Mikautadze + Tanner Tessmann + Tyler Morton,5,2
Abner + Clinton Mata + Georges Mikautadze + Tanner Tessmann,4,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Pavel Šulc + Ruben Kluivert,5,2
Abner + Clinton Mata + Georges Mikautadze + Rémy Descamps + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Ruben Kluivert,4,2
Clinton Mata + Corentin Tolisso + Dominik Greif + Ruben Kluivert + Tyler Morton,5,2
Abner + Clinton Mata + Georges Mikautadze + Rémy Descamps + Tanner Tessmann,5,2
Abner + Georges Mikautadze + Moussa Niakhate + Tanner Tessmann + Tyler Morton,5,2
Afonso Moreira + Clinton Mata + Dominik Greif + Khalis Merah + Moussa Niakhate,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze,3,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana,4,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Moussa Niakhate,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Rémy Descamps,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Moussa Niakhate,4,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Moussa Niakhate + Rémy Descamps,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Moussa Niakhate + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Moussa Niakhate + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Rémy Descamps,4,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Rémy Descamps + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Rémy Descamps + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Tanner Tessmann,4,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Tanner Tessmann + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Georges Mikautadze + Tyler Morton,4,2
Abner + Clinton Mata + Georges Mikautadze + Rémy Descamps,4,2
Abner + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,5,2
Abner + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc,5,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Malick Fofana + Nicolás Tagliafico,5,2
Abner + Dominik Greif + Moussa Niakhate + Nicolás Tagliafico,4,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Malick Fofana + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Martin Satriano,4,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Martin Satriano + Moussa Niakhate,5,2
Adam Karabec + Malick Fofana + Pavel Šulc,3,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Moussa Niakhate + Nicolás Tagliafico,5,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Moussa Niakhate + Rémy Descamps,5,2
Abner + Clinton Mata + Georges Mikautadze + Moussa Niakhate + Tyler Morton,5,2
Abner + Clinton Mata + Georges Mikautadze + Moussa Niakhate + Tanner Tessmann,5,2
Abner + Dominik Greif + Mathys De Carvalho + Tyler Morton,4,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Nicolás Tagliafico + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Nicolás Tagliafico + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Pavel Šulc,4,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Pavel Šulc + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Rémy Descamps,4,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Rémy Descamps + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Khalis Merah + Rémy Descamps + Tyler Morton,5,2
Abner + Clinton Mata + Georges Mikautadze + Moussa Niakhate + Rémy Descamps,5,2
Abner + Dominik Greif + Mathys De Carvalho + Pavel Šulc + Tyler Morton,5,2
Abner + Clinton Mata + Georges Mikautadze + Moussa Niakhate,4,2
Abner + Clinton Mata + Georges Mikautadze + Malick Fofana + Tyler Morton,5,2
Adam Karabec + Clinton Mata + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Moussa Niakhate,5,2
Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Nicolás Tagliafico,5,2
Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Malick Fofana + Martin Satriano + Tyler Morton,5,2
Abner + Clinton Mata + Georges Mikautadze + Malick Fofana + Tanner Tessmann,5,2
Abner + Clinton Mata + Georges Mikautadze + Malick Fofana + Rémy Descamps,5,2
Clinton Mata + Corentin Tolisso + Malick Fofana + Moussa Niakhate + Pavel Šulc,5,2
Abner + Dominik Greif + Mathys De Carvalho + Pavel Šulc,4,2
Abner + Clinton Mata + Georges Mikautadze + Malick Fofana + Moussa Niakhate,5,2
Abner + Clinton Mata + Georges Mikautadze + Malick Fofana,4,2
Abner + Clinton Mata + Georges Mikautadze,3,2
Abner + Clinton Mata + Dominik Greif + Ruben Kluivert + Tyler Morton,5,2
Abner + Georges Mikautadze + Moussa Niakhate + Tyler Morton,4,2
Adam Karabec + Clinton Mata + Martin Satriano + Nicolás Tagliafico,4,2
Clinton Mata + Corentin Tolisso + Malick Fofana + Pavel Šulc + Tanner Tessmann,5,2
Afonso Moreira + Ainsley Maitland-Niles + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,5,2
Adam Karabec + Clinton Mata + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Pavel Šulc + Ruben Kluivert,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Pavel Šulc + Tanner Tessmann,5,2
Abner + Clinton Mata + Dominik Greif + Ruben Kluivert,4,2
Abner + Clinton Mata + Dominik Greif + Pavel Šulc + Ruben Kluivert,5,2
Abner + Clinton Mata + Dominik Greif + Nicolás Tagliafico + Tyler Morton,5,2
Abner + Clinton Mata + Dominik Greif + Nicolás Tagliafico + Pavel Šulc,5,2
Abner + Clinton Mata + Dominik Greif + Nicolás Tagliafico,4,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Moussa Niakhate + Pavel Šulc,5,2
Abner + Dominik Greif + Mathys De Carvalho + Moussa Niakhate + Tyler Morton,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Ruben Kluivert,4,2
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah + Ruben Kluivert,4,2
Afonso Moreira + Clinton Mata + Khalis Merah + Ruben Kluivert + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Martin Satriano + Nicolás Tagliafico + Pavel Šulc,5,2
Clinton Mata + Corentin Tolisso + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann,5,2
Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Ruben Kluivert + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Martin Satriano + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Martin Satriano + Nicolás Tagliafico,5,2
Abner + Dominik Greif + Mathys De Carvalho + Moussa Niakhate + Pavel Šulc,5,2
Abner + Clinton Mata + Dominik Greif + Khalis Merah + Tyler Morton,5,2
Abner + Clinton Mata + Dominik Greif + Khalis Merah + Pavel Šulc,5,2
Abner + Clinton Mata + Dominik Greif + Khalis Merah,4,2
Abner + Dominik Greif + Mathys De Carvalho + Moussa Niakhate,4,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Malick Fofana + Pavel Šulc,5,2
Afonso Moreira + Clinton Mata + Nicolás Tagliafico + Ruben Kluivert + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Khalis Merah + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Moussa Niakhate + Pavel Šulc + Tanner Tessmann,5,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Khalis Merah + Nicolás Tagliafico,5,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Khalis Merah + Moussa Niakhate,5,2
Afonso Moreira + Clinton Mata + Khalis Merah + Ruben Kluivert,4,2
Abner + Clinton Mata + Corentin Tolisso + Ruben Kluivert + Tyler Morton,5,2
Abner + Clinton Mata + Corentin Tolisso + Ruben Kluivert,4,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Khalis Merah + Malick Fofana,5,2
Adam Karabec + Ainsley Maitland-Niles + Dominik Greif + Khalis Merah,4,2
Abner + Clinton Mata + Corentin Tolisso + Pavel Šulc + Ruben Kluivert,5,2
Abner + Clinton Mata + Corentin Tolisso + Nicolás Tagliafico + Tyler Morton,5,2
Abner + Clinton Mata + Corentin Tolisso + Nicolás Tagliafico + Pavel Šulc,5,2
Abner + Clinton Mata + Corentin Tolisso + Nicolás Tagliafico,4,2
Abner + Dominik Greif + Mathys De Carvalho,3,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Rémy Descamps + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Rémy Descamps + Tanner Tessmann,5,2
Clinton Mata + Corentin Tolisso + Pavel Šulc + Ruben Kluivert,4,2
Clinton Mata + Corentin Tolisso + Pavel Šulc + Ruben Kluivert + Tyler Morton,5,2
Clinton Mata + Corentin Tolisso + Pavel Šulc + Tanner Tessmann,4,2
Clinton Mata + Corentin Tolisso + Pavel Šulc + Tanner Tessmann + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Rémy Descamps,4,2
Clinton Mata + Corentin Tolisso + Ruben Kluivert,3,2
Clinton Mata + Corentin Tolisso + Ruben Kluivert + Tyler Morton,4,2
Afonso Moreira + Clinton Mata + Nicolás Tagliafico + Ruben Kluivert,4,2
Afonso Moreira + Corentin Tolisso + Dominik Greif + Nicolás Tagliafico + Tyler Morton,5,2
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico + Tyler Morton,5,2
Abner + Clinton Mata + Corentin Tolisso + Malick Fofana + Pavel Šulc,5,2
Abner + Clinton Mata + Corentin Tolisso + Khalis Merah + Tanner Tessmann,5,2
Abner + Clinton Mata + Corentin Tolisso + Khalis Merah + Rémy Descamps,5,2
Abner + Clinton Mata + Corentin Tolisso + Khalis Merah + Pavel Šulc,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Rémy Descamps,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Moussa Niakhate + Pavel Šulc,5,2
Abner + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Tyler Morton,5,2
Clinton Mata + Dominik Greif + Khalis Merah + Malick Fofana + Moussa Niakhate,5,2
Clinton Mata + Dominik Greif + Khalis Merah + Malick Fofana + Nicolás Tagliafico,5,2
Clinton Mata + Dominik Greif + Khalis Merah + Malick Fofana + Tanner Tessmann,5,2
Clinton Mata + Dominik Greif + Khalis Merah + Martin Satriano,4,2
Clinton Mata + Dominik Greif + Khalis Merah + Martin Satriano + Moussa Niakhate,5,2
Abner + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Tanner Tessmann,5,2
Abner + Dominik Greif + Martin Satriano + Tanner Tessmann,4,2
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Nicolás Tagliafico,5,2
Abner + Dominik Greif + Martin Satriano + Nicolás Tagliafico + Tyler Morton,5,2
Abner + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Rémy Descamps,5,2
Clinton Mata + Dominik Greif + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,5,2
Abner + Dominik Greif + Martin Satriano + Nicolás Tagliafico + Pavel Šulc,5,2
Abner + Dominik Greif + Martin Satriano + Nicolás Tagliafico,4,2
Clinton Mata + Dominik Greif + Khalis Merah + Pavel Šulc,4,2
Clinton Mata + Dominik Greif + Khalis Merah + Pavel Šulc + Tyler Morton,5,2
Clinton Mata + Dominik Greif + Khalis Merah + Ruben Kluivert,4,2
Clinton Mata + Dominik Greif + Khalis Merah + Ruben Kluivert + Tyler Morton,5,2
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Khalis Merah + Malick Fofana,5,2
Clinton Mata + Dominik Greif + Khalis Merah + Tanner Tessmann + Tyler Morton,5,2
Afonso Moreira + Corentin Tolisso + Khalis Merah + Tyler Morton,4,2
Abner + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Moussa Niakhate,5,2
Afonso Moreira + Corentin Tolisso + Nicolás Tagliafico,3,2
Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Moussa Niakhate,5,2
Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Nicolás Tagliafico,5,2
Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Tanner Tessmann,5,2
Clinton Mata + Dominik Greif + Malick Fofana + Martin Satriano + Tyler Morton,5,2
Abner + Clinton Mata + Corentin Tolisso + Georges Mikautadze + Malick Fofana,5,2
Abner + Clinton Mata + Corentin Tolisso + Georges Mikautadze,4,2
Abner + Clinton Mata + Corentin Tolisso + Dominik Greif + Ruben Kluivert,5,2
Abner + Dominik Greif + Martin Satriano + Moussa Niakhate + Tanner Tessmann,5,2
Abner + Clinton Mata + Corentin Tolisso + Dominik Greif + Nicolás Tagliafico,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Martin Satriano + Tyler Morton,5,2
Ainsley Maitland-Niles + Clinton Mata + Dominik Greif + Khalis Merah + Ruben Kluivert,5,2
Clinton Mata + Dominik Greif + Malick Fofana + Pavel Šulc,4,2
Clinton Mata + Dominik Greif + Malick Fofana + Pavel Šulc + Tyler Morton,5,2
Abner + Clinton Mata + Corentin Tolisso + Dominik Greif + Khalis Merah,5,2
Afonso Moreira + Corentin Tolisso + Nicolás Tagliafico + Pavel Šulc,4,2
Adam Karabec + Malick Fofana + Martin Satriano + Tyler Morton,4,2
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Martin Satriano + Nicolás Tagliafico,5,2
Abner + Ainsley Maitland-Niles + Ruben Kluivert + Tyler Morton,4,2
Afonso Moreira + Corentin Tolisso + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,5,2
Abner + Dominik Greif + Martin Satriano + Moussa Niakhate + Nicolás Tagliafico,5,2
Abner + Ainsley Maitland-Niles + Ruben Kluivert,3,2
Adam Karabec + Malick Fofana + Martin Satriano + Tanner Tessmann,4,2
Clinton Mata + Dominik Greif + Martin Satriano + Nicolás Tagliafico + Pavel Šulc,5,2
Clinton Mata + Dominik Greif + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann,5,2
Afonso Moreira + Corentin Tolisso + Nicolás Tagliafico + Tyler Morton,4,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Malick Fofana + Pavel Šulc,5,2
Abner + Ainsley Maitland-Niles + Pavel Šulc + Ruben Kluivert + Tyler Morton,5,2
Afonso Moreira + Clinton Mata + Martin Satriano + Pavel Šulc + Tyler Morton,5,2
Abner + Ainsley Maitland-Niles + Pavel Šulc + Ruben Kluivert,4,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Khalis Merah + Rémy Descamps,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Khalis Merah + Nicolás Tagliafico,5,2
Afonso Moreira + Ainsley Maitland-Niles + Clinton Mata + Corentin Tolisso + Martin Satriano,5,2
Abner + Ainsley Maitland-Niles + Moussa Niakhate + Pavel Šulc + Tyler Morton,5,2
Ainsley Maitland-Niles + Dominik Greif + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,5,2
Abner + Ainsley Maitland-Niles + Moussa Niakhate + Pavel Šulc,4,2
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico,4,2
Afonso Moreira + Clinton Mata + Khalis Merah + Pavel Šulc + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Khalis Merah,5,2
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Rémy Descamps + Tyler Morton,5,2
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Rémy Descamps + Tanner Tessmann,5,2
Adam Karabec + Ainsley Maitland-Niles + Clinton Mata + Rémy Descamps,4,2
Abner + Ainsley Maitland-Niles + Martin Satriano,3,2
Clinton Mata + Dominik Greif + Nicolás Tagliafico + Ruben Kluivert,4,2
Clinton Mata + Dominik Greif + Nicolás Tagliafico + Ruben Kluivert + Tyler Morton,5,2
Afonso Moreira + Corentin Tolisso + Dominik Greif + Khalis Merah,4,2
Afonso Moreira + Clinton Mata + Khalis Merah + Pavel Šulc,4,2
Adam Karabec + Malick Fofana + Martin Satriano + Nicolás Tagliafico + Tanner Tessmann,5,2
Adam Karabec + Malick Fofana + Martin Satriano + Nicolás Tagliafico,4,2
