combo,size,matches,avg_points,avg_score_final,combo_size
Afonso Moreira + Ruben Kluivert + Tanner Tessmann,3,5,1.8,64.62,3
Ainsley Maitland-Niles + Nicolás Tagliafico + Ruben Kluivert,3,5,1.8,64.62,3
Clinton Mata + Nicolás Tagliafico + Ruben Kluivert,3,5,1.8,64.62,3
Corentin Tolisso + Nicolás Tagliafico + Ruben Kluivert,3,5,1.8,64.62,3
Nicolás Tagliafico + Ruben Kluivert + Tanner Tessmann,3,5,1.8,64.62,3
Nicolás Tagliafico + Ruben Kluivert + Tyler Morton,3,5,1.8,64.62,3
Abner + Ainsley Maitland-Niles + Ruben Kluivert,3,5,1.8,64.56,3
Abner + Ruben Kluivert + Tanner Tessmann,3,5,1.8,64.56,3
Ainsley Maitland-Niles + Pavel Šulc + Ruben Kluivert,3,5,1.8,64.56,3
Pavel Šulc + Ruben Kluivert + Tanner Tessmann,3,5,1.8,64.56,3
Afonso Moreira + Khalis Merah + Ruben Kluivert,3,5,1.8,62.4,3
Abner + Khalis Merah + Ruben Kluivert,3,5,1.8,62.34,3
Khalis Merah + Pavel Šulc + Ruben Kluivert,3,5,1.8,62.34,3
Ainsley Maitland-Niles + Khalis Merah + Ruben Kluivert,3,5,1.8,62.22,3
Khalis Merah + Ruben Kluivert + Tanner Tessmann,3,5,1.8,62.22,3
Abner + Ainsley Maitland-Niles + Tyler Morton,3,9,1.78,64.14,3
Abner + Adam Karabec + Afonso Moreira,3,8,1.75,64.54,3
Abner + Afonso Moreira + Moussa Niakhate,3,8,1.75,64.4,3
Ainsley Maitland-Niles + Martin Satriano + Tyler Morton,3,8,1.75,64.17,3
Martin Satriano + Nicolás Tagliafico + Tyler Morton,3,8,1.75,64.17,3
Abner + Afonso Moreira + Clinton Mata,3,8,1.75,64.1,3
Abner + Afonso Moreira + Hans Hateboer,3,4,1.75,63.23,3
Abner + Corentin Tolisso + Hans Hateboer,3,4,1.75,63.23,3
Abner + Dominik Greif + Hans Hateboer,3,4,1.75,63.23,3
Abner + Hans Hateboer + Martin Satriano,3,4,1.75,63.23,3
Abner + Hans Hateboer + Mathys De Carvalho,3,4,1.75,63.23,3
Abner + Hans Hateboer + Moussa Niakhate,3,4,1.75,63.23,3
Abner + Hans Hateboer + Pavel Šulc,3,4,1.75,63.23,3
Abner + Hans Hateboer + Tyler Morton,3,4,1.75,63.23,3
Abner + Mathys De Carvalho + Tyler Morton,3,4,1.75,63.23,3
Ainsley Maitland-Niles + Khalis Merah + Martin Satriano,3,4,1.75,63.08,3
Khalis Merah + Martin Satriano + Tanner Tessmann,3,4,1.75,63.08,3
Abner + Dominik Greif + Khalis Merah,3,4,1.75,62.86,3
Abner + Khalis Merah + Martin Satriano,3,4,1.75,62.86,3
Ainsley Maitland-Niles + Martin Satriano + Mathys De Carvalho,3,7,1.71,62.88,3
Adam Karabec + Khalis Merah + Nicolás Tagliafico,3,7,1.71,61.26,3
Afonso Moreira + Khalis Merah + Nicolás Tagliafico,3,7,1.71,61.26,3
