combo,size,matches,avg_points,avg_score_final,combo_size
Dominik Greif + Mathys De Carvalho + Rachid Ghezzal,3,4,1.0,43.18,3
Khalis Merah + Malick Fofana + Moussa Niakhate,3,6,1.0,43.18,3
Khalis Merah + Malick Fofana + Pavel Šulc,3,6,1.0,43.18,3
Khalis Merah + Malick Fofana + Tanner Tessmann,3,6,1.0,43.18,3
Martin Satriano + Mathys De Carvalho + Rachid Ghezzal,3,4,1.0,43.18,3
Mathys De Carvalho + Moussa Niakhate + Rachid Ghezzal,3,4,1.0,43.18,3
Mathys De Carvalho + Pavel Šulc + Rachid Ghezzal,3,4,1.0,43.18,3
Adam Karabec + Clinton Mata + Khalis Merah,3,10,1.0,43.15,3
Clinton Mata + Corentin Tolisso + Khalis Merah,3,10,1.0,43.15,3
Adam Karabec + Malick Fofana + Mathys De Carvalho,3,3,1.0,42.33,3
Afonso Moreira + Malick Fofana + Mathys De Carvalho,3,3,1.0,42.33,3
Ainsley Maitland-Niles + Malick Fofana + Mathys De Carvalho,3,3,1.0,42.33,3
Clinton Mata + Malick Fofana + Mathys De Carvalho,3,3,1.0,42.33,3
Corentin Tolisso + Malick Fofana + Mathys De Carvalho,3,3,1.0,42.33,3
Dominik Greif + Malick Fofana + Mathys De Carvalho,3,3,1.0,42.33,3
Malick Fofana + Mathys De Carvalho + Moussa Niakhate,3,3,1.0,42.33,3
Malick Fofana + Mathys De Carvalho + Nicolás Tagliafico,3,3,1.0,42.33,3
Malick Fofana + Mathys De Carvalho + Pavel Šulc,3,3,1.0,42.33,3
Malick Fofana + Mathys De Carvalho + Tanner Tessmann,3,3,1.0,42.33,3
Dominik Greif + Khalis Merah + Ruben Kluivert,3,3,1.0,41.63,3
Adam Karabec + Mathys De Carvalho + Rachid Ghezzal,3,3,1.0,40.83,3
Clinton Mata + Moussa Niakhate + Tanner Tessmann,3,13,0.92,42.86,3
Dominik Greif + Moussa Niakhate + Tanner Tessmann,3,10,0.9,43.14,3
Clinton Mata + Dominik Greif + Tanner Tessmann,3,10,0.9,42.9,3
Adam Karabec + Clinton Mata + Moussa Niakhate,3,13,0.85,40.27,3
Adam Karabec + Clinton Mata + Mathys De Carvalho,3,6,0.83,40.21,3
Clinton Mata + Dominik Greif + Moussa Niakhate,3,11,0.82,40.39,3
Afonso Moreira + Martin Satriano + Rachid Ghezzal,3,5,0.8,40.07,3
Afonso Moreira + Pavel Šulc + Rachid Ghezzal,3,5,0.8,40.07,3
Clinton Mata + Martin Satriano + Rachid Ghezzal,3,5,0.8,40.07,3
Corentin Tolisso + Martin Satriano + Rachid Ghezzal,3,5,0.8,40.07,3
Dominik Greif + Martin Satriano + Rachid Ghezzal,3,5,0.8,40.07,3
Dominik Greif + Pavel Šulc + Rachid Ghezzal,3,5,0.8,40.07,3
Martin Satriano + Moussa Niakhate + Rachid Ghezzal,3,5,0.8,40.07,3
Martin Satriano + Pavel Šulc + Rachid Ghezzal,3,5,0.8,40.07,3
Afonso Moreira + Ainsley Maitland-Niles + Rachid Ghezzal,3,5,0.8,39.95,3
Afonso Moreira + Nicolás Tagliafico + Rachid Ghezzal,3,5,0.8,39.95,3
Afonso Moreira + Rachid Ghezzal + Tanner Tessmann,3,5,0.8,39.95,3
Ainsley Maitland-Niles + Dominik Greif + Rachid Ghezzal,3,5,0.8,39.95,3
Ainsley Maitland-Niles + Nicolás Tagliafico + Rachid Ghezzal,3,5,0.8,39.95,3
Clinton Mata + Nicolás Tagliafico + Rachid Ghezzal,3,5,0.8,39.95,3
Corentin Tolisso + Nicolás Tagliafico + Rachid Ghezzal,3,5,0.8,39.95,3
Dominik Greif + Nicolás Tagliafico + Rachid Ghezzal,3,5,0.8,39.95,3
Dominik Greif + Rachid Ghezzal + Tanner Tessmann,3,5,0.8,39.95,3
Moussa Niakhate + Nicolás Tagliafico + Rachid Ghezzal,3,5,0.8,39.95,3
Nicolás Tagliafico + Rachid Ghezzal + Tanner Tessmann,3,5,0.8,39.95,3
Ainsley Maitland-Niles + Pavel Šulc + Rachid Ghezzal,3,5,0.8,39.89,3
Pavel Šulc + Rachid Ghezzal + Tanner Tessmann,3,5,0.8,39.89,3
Adam Karabec + Dominik Greif + Moussa Niakhate,3,10,0.8,39.77,3
Afonso Moreira + Rachid Ghezzal + Tyler Morton,3,5,0.8,39.77,3
Dominik Greif + Rachid Ghezzal + Tyler Morton,3,5,0.8,39.77,3
Pavel Šulc + Rachid Ghezzal + Tyler Morton,3,5,0.8,39.71,3
Ainsley Maitland-Niles + Rachid Ghezzal + Tyler Morton,3,5,0.8,39.59,3
Rachid Ghezzal + Tanner Tessmann + Tyler Morton,3,5,0.8,39.59,3
Adam Karabec + Clinton Mata + Dominik Greif,3,10,0.8,39.53,3
Adam Karabec + Khalis Merah + Mathys De Carvalho,3,5,0.8,39.47,3
Afonso Moreira + Khalis Merah + Mathys De Carvalho,3,5,0.8,39.47,3
Corentin Tolisso + Khalis Merah + Mathys De Carvalho,3,5,0.8,39.47,3
Dominik Greif + Khalis Merah + Mathys De Carvalho,3,5,0.8,39.47,3
Khalis Merah + Mathys De Carvalho + Moussa Niakhate,3,5,0.8,39.47,3
Khalis Merah + Mathys De Carvalho + Pavel Šulc,3,5,0.8,39.47,3
Clinton Mata + Khalis Merah + Moussa Niakhate,3,9,0.78,37.67,3
Dominik Greif + Malick Fofana + Tyler Morton,3,4,0.75,38.8,3
Adam Karabec + Dominik Greif + Ruben Kluivert,3,4,0.75,38.12,3
Afonso Moreira + Dominik Greif + Ruben Kluivert,3,4,0.75,38.12,3
Clinton Mata + Dominik Greif + Ruben Kluivert,3,4,0.75,38.12,3
Corentin Tolisso + Dominik Greif + Ruben Kluivert,3,4,0.75,38.12,3
Dominik Greif + Ruben Kluivert + Tyler Morton,3,4,0.75,38.12,3
Adam Karabec + Malick Fofana + Martin Satriano,3,4,0.75,37.9,3
Afonso Moreira + Malick Fofana + Martin Satriano,3,4,0.75,37.9,3
Ainsley Maitland-Niles + Malick Fofana + Martin Satriano,3,4,0.75,37.9,3
Clinton Mata + Malick Fofana + Martin Satriano,3,4,0.75,37.9,3
Corentin Tolisso + Malick Fofana + Martin Satriano,3,4,0.75,37.9,3
Dominik Greif + Malick Fofana + Martin Satriano,3,4,0.75,37.9,3
Malick Fofana + Martin Satriano + Moussa Niakhate,3,4,0.75,37.9,3
Malick Fofana + Martin Satriano + Nicolás Tagliafico,3,4,0.75,37.9,3
Malick Fofana + Martin Satriano + Pavel Šulc,3,4,0.75,37.9,3
Malick Fofana + Martin Satriano + Tanner Tessmann,3,4,0.75,37.9,3
Adam Karabec + Martin Satriano + Rachid Ghezzal,3,4,0.75,37.52,3
Adam Karabec + Nicolás Tagliafico + Rachid Ghezzal,3,4,0.75,37.38,3
Adam Karabec + Malick Fofana + Rachid Ghezzal,3,4,0.75,37.3,3
Ainsley Maitland-Niles + Malick Fofana + Rachid Ghezzal,3,4,0.75,37.3,3
Clinton Mata + Malick Fofana + Rachid Ghezzal,3,4,0.75,37.3,3
Corentin Tolisso + Malick Fofana + Rachid Ghezzal,3,4,0.75,37.3,3
Malick Fofana + Moussa Niakhate + Rachid Ghezzal,3,4,0.75,37.3,3
Malick Fofana + Pavel Šulc + Rachid Ghezzal,3,4,0.75,37.3,3
Malick Fofana + Rachid Ghezzal + Tanner Tessmann,3,4,0.75,37.3,3
Afonso Moreira + Clinton Mata + Rachid Ghezzal,3,6,0.67,36.04,3
Afonso Moreira + Corentin Tolisso + Rachid Ghezzal,3,6,0.67,36.04,3
Afonso Moreira + Dominik Greif + Rachid Ghezzal,3,6,0.67,36.04,3
Afonso Moreira + Moussa Niakhate + Rachid Ghezzal,3,6,0.67,36.04,3
Clinton Mata + Dominik Greif + Rachid Ghezzal,3,6,0.67,36.04,3
Corentin Tolisso + Dominik Greif + Rachid Ghezzal,3,6,0.67,36.04,3
Dominik Greif + Moussa Niakhate + Rachid Ghezzal,3,6,0.67,36.04,3
Clinton Mata + Pavel Šulc + Rachid Ghezzal,3,6,0.67,35.99,3
Corentin Tolisso + Pavel Šulc + Rachid Ghezzal,3,6,0.67,35.99,3
Moussa Niakhate + Pavel Šulc + Rachid Ghezzal,3,6,0.67,35.99,3
Ainsley Maitland-Niles + Clinton Mata + Rachid Ghezzal,3,6,0.67,35.89,3
Ainsley Maitland-Niles + Corentin Tolisso + Rachid Ghezzal,3,6,0.67,35.89,3
Ainsley Maitland-Niles + Moussa Niakhate + Rachid Ghezzal,3,6,0.67,35.89,3
Ainsley Maitland-Niles + Rachid Ghezzal + Tanner Tessmann,3,6,0.67,35.89,3
Clinton Mata + Rachid Ghezzal + Tanner Tessmann,3,6,0.67,35.89,3
Corentin Tolisso + Rachid Ghezzal + Tanner Tessmann,3,6,0.67,35.89,3
Moussa Niakhate + Rachid Ghezzal + Tanner Tessmann,3,6,0.67,35.89,3
Clinton Mata + Rachid Ghezzal + Tyler Morton,3,6,0.67,35.74,3
Corentin Tolisso + Rachid Ghezzal + Tyler Morton,3,6,0.67,35.74,3
Moussa Niakhate + Rachid Ghezzal + Tyler Morton,3,6,0.67,35.74,3
Dominik Greif + Khalis Merah + Moussa Niakhate,3,6,0.67,35.54,3
Clinton Mata + Dominik Greif + Khalis Merah,3,6,0.67,35.14,3
Adam Karabec + Dominik Greif + Malick Fofana,3,5,0.6,34.52,3
Afonso Moreira + Dominik Greif + Malick Fofana,3,5,0.6,34.52,3
Ainsley Maitland-Niles + Dominik Greif + Malick Fofana,3,5,0.6,34.52,3
Clinton Mata + Dominik Greif + Malick Fofana,3,5,0.6,34.52,3
Corentin Tolisso + Dominik Greif + Malick Fofana,3,5,0.6,34.52,3
Dominik Greif + Malick Fofana + Moussa Niakhate,3,5,0.6,34.52,3
Dominik Greif + Malick Fofana + Nicolás Tagliafico,3,5,0.6,34.52,3
Dominik Greif + Malick Fofana + Pavel Šulc,3,5,0.6,34.52,3
Dominik Greif + Malick Fofana + Tanner Tessmann,3,5,0.6,34.52,3
Adam Karabec + Afonso Moreira + Rachid Ghezzal,3,5,0.6,33.2,3
Adam Karabec + Dominik Greif + Rachid Ghezzal,3,5,0.6,33.2,3
Adam Karabec + Pavel Šulc + Rachid Ghezzal,3,5,0.6,33.14,3
Adam Karabec + Ainsley Maitland-Niles + Rachid Ghezzal,3,5,0.6,33.02,3
Adam Karabec + Rachid Ghezzal + Tanner Tessmann,3,5,0.6,33.02,3
Adam Karabec + Rachid Ghezzal + Tyler Morton,3,5,0.6,32.84,3
Clinton Mata + Corentin Tolisso + Rachid Ghezzal,3,7,0.57,33.12,3
Clinton Mata + Moussa Niakhate + Rachid Ghezzal,3,7,0.57,33.12,3
Corentin Tolisso + Moussa Niakhate + Rachid Ghezzal,3,7,0.57,33.12,3
Adam Karabec + Clinton Mata + Rachid Ghezzal,3,6,0.5,30.27,3
Adam Karabec + Corentin Tolisso + Rachid Ghezzal,3,6,0.5,30.27,3
Adam Karabec + Moussa Niakhate + Rachid Ghezzal,3,6,0.5,30.27,3
Clinton Mata + Khalis Merah + Mathys De Carvalho,3,4,0.25,25.61,3
Afonso Moreira + Rachid Ghezzal + Ruben Kluivert,3,3,0.0,20.0,3
Dominik Greif + Moussa Niakhate + Ruben Kluivert,3,3,0.0,20.0,3
Dominik Greif + Rachid Ghezzal + Ruben Kluivert,3,3,0.0,20.0,3
Abner + Adam Karabec + Rachid Ghezzal,3,3,0.0,19.9,3
Abner + Clinton Mata + Rachid Ghezzal,3,3,0.0,19.9,3
Abner + Corentin Tolisso + Rachid Ghezzal,3,3,0.0,19.9,3
Abner + Moussa Niakhate + Rachid Ghezzal,3,3,0.0,19.9,3
Abner + Pavel Šulc + Rachid Ghezzal,3,3,0.0,19.9,3
Abner + Rachid Ghezzal + Ruben Kluivert,3,3,0.0,19.9,3
Abner + Rachid Ghezzal + Tyler Morton,3,3,0.0,19.9,3
Pavel Šulc + Rachid Ghezzal + Ruben Kluivert,3,3,0.0,19.9,3
Ainsley Maitland-Niles + Rachid Ghezzal + Ruben Kluivert,3,3,0.0,19.7,3
Rachid Ghezzal + Ruben Kluivert + Tanner Tessmann,3,3,0.0,19.7,3
Adam Karabec + Rachid Ghezzal + Ruben Kluivert,3,4,0.0,18.9,3
Clinton Mata + Rachid Ghezzal + Ruben Kluivert,3,4,0.0,18.9,3
Corentin Tolisso + Rachid Ghezzal + Ruben Kluivert,3,4,0.0,18.9,3
Moussa Niakhate + Rachid Ghezzal + Ruben Kluivert,3,4,0.0,18.9,3
Rachid Ghezzal + Ruben Kluivert + Tyler Morton,3,4,0.0,18.9,3
Afonso Moreira + Khalis Merah + Rachid Ghezzal,3,3,0.0,16.6,3
Dominik Greif + Khalis Merah + Rachid Ghezzal,3,3,0.0,16.6,3
Khalis Merah + Pavel Šulc + Rachid Ghezzal,3,3,0.0,16.5,3
Adam Karabec + Khalis Merah + Rachid Ghezzal,3,4,0.0,16.35,3
Clinton Mata + Khalis Merah + Rachid Ghezzal,3,4,0.0,16.35,3
Corentin Tolisso + Khalis Merah + Rachid Ghezzal,3,4,0.0,16.35,3
Khalis Merah + Moussa Niakhate + Rachid Ghezzal,3,4,0.0,16.35,3
Ainsley Maitland-Niles + Khalis Merah + Rachid Ghezzal,3,3,0.0,16.3,3
Khalis Merah + Rachid Ghezzal + Tanner Tessmann,3,3,0.0,16.3,3
Khalis Merah + Rachid Ghezzal + Ruben Kluivert,3,3,0.0,16.0,3
Khalis Merah + Rachid Ghezzal + Tyler Morton,3,3,0.0,16.0,3
Abner + Khalis Merah + Moussa Niakhate + Nicolás Tagliafico,4,3,3.0,94.0,4
Abner + Adam Karabec + Khalis Merah + Nicolás Tagliafico,4,4,3.0,93.62,4
Abner + Afonso Moreira + Khalis Merah + Nicolás Tagliafico,4,4,3.0,93.62,4
Abner + Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico,4,4,3.0,93.62,4
Abner + Corentin Tolisso + Khalis Merah + Nicolás Tagliafico,4,4,3.0,93.62,4
Abner + Khalis Merah + Nicolás Tagliafico + Pavel Šulc,4,4,3.0,93.62,4
Abner + Khalis Merah + Nicolás Tagliafico + Tanner Tessmann,4,4,3.0,93.62,4
Abner + Khalis Merah + Nicolás Tagliafico + Tyler Morton,4,4,3.0,93.62,4
Abner + Clinton Mata + Khalis Merah + Nicolás Tagliafico,4,3,3.0,93.2,4
Abner + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,4,3,3.0,93.2,4
Khalis Merah + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,4,3,3.0,93.2,4
Abner + Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah,4,5,2.6,84.41,4
Abner + Afonso Moreira + Khalis Merah + Tanner Tessmann,4,5,2.6,84.41,4
Khalis Merah + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,4,5,2.4,79.1,4
Abner + Afonso Moreira + Khalis Merah + Tyler Morton,4,5,2.4,78.2,4
Abner + Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer,4,3,2.33,78.81,4
Abner + Afonso Moreira + Hans Hateboer + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Afonso Moreira + Mathys De Carvalho + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Dominik Greif + Hans Hateboer,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Hans Hateboer + Martin Satriano,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Hans Hateboer + Mathys De Carvalho,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Hans Hateboer + Moussa Niakhate,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Hans Hateboer + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Hans Hateboer + Pavel Šulc,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Hans Hateboer + Tyler Morton,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Mathys De Carvalho + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Mathys De Carvalho + Tyler Morton,4,3,2.33,78.81,4
Abner + Corentin Tolisso + Hans Hateboer + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Corentin Tolisso + Mathys De Carvalho + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Dominik Greif + Hans Hateboer + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Dominik Greif + Mathys De Carvalho + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Hans Hateboer + Martin Satriano + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Hans Hateboer + Mathys De Carvalho + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Hans Hateboer + Moussa Niakhate + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Hans Hateboer + Nicolás Tagliafico + Pavel Šulc,4,3,2.33,78.81,4
Abner + Hans Hateboer + Nicolás Tagliafico + Tyler Morton,4,3,2.33,78.81,4
Abner + Martin Satriano + Mathys De Carvalho + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Mathys De Carvalho + Moussa Niakhate + Nicolás Tagliafico,4,3,2.33,78.81,4
Abner + Mathys De Carvalho + Nicolás Tagliafico + Pavel Šulc,4,3,2.33,78.81,4
Abner + Mathys De Carvalho + Nicolás Tagliafico + Tyler Morton,4,3,2.33,78.81,4
Abner + Ainsley Maitland-Niles + Dominik Greif + Khalis Merah,4,3,2.33,78.31,4
Abner + Ainsley Maitland-Niles + Khalis Merah + Martin Satriano,4,3,2.33,78.31,4
Abner + Dominik Greif + Khalis Merah + Tanner Tessmann,4,3,2.33,78.31,4
Abner + Khalis Merah + Martin Satriano + Tanner Tessmann,4,3,2.33,78.31,4
Abner + Afonso Moreira + Ainsley Maitland-Niles + Nicolás Tagliafico,4,7,2.29,77.66,4
Abner + Afonso Moreira + Ainsley Maitland-Niles + Tyler Morton,4,7,2.29,77.66,4
Abner + Afonso Moreira + Corentin Tolisso + Nicolás Tagliafico,4,7,2.29,77.66,4
Abner + Afonso Moreira + Nicolás Tagliafico + Pavel Šulc,4,7,2.29,77.66,4
Abner + Afonso Moreira + Nicolás Tagliafico + Tyler Morton,4,7,2.29,77.66,4
Abner + Ainsley Maitland-Niles + Corentin Tolisso + Nicolás Tagliafico,4,7,2.29,77.66,4
Abner + Ainsley Maitland-Niles + Nicolás Tagliafico + Pavel Šulc,4,7,2.29,77.66,4
Abner + Ainsley Maitland-Niles + Nicolás Tagliafico + Tyler Morton,4,7,2.29,77.66,4
Abner + Corentin Tolisso + Nicolás Tagliafico + Pavel Šulc,4,7,2.29,77.66,4
Abner + Corentin Tolisso + Nicolás Tagliafico + Tyler Morton,4,7,2.29,77.66,4
Abner + Nicolás Tagliafico + Pavel Šulc + Tyler Morton,4,7,2.29,77.66,4
Abner + Adam Karabec + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,76.8,4
Abner + Afonso Moreira + Ainsley Maitland-Niles + Ruben Kluivert,4,4,2.25,76.8,4
Abner + Afonso Moreira + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,76.8,4
Abner + Afonso Moreira + Ruben Kluivert + Tanner Tessmann,4,4,2.25,76.8,4
Abner + Ainsley Maitland-Niles + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,76.8,4
Abner + Clinton Mata + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,76.8,4
Abner + Corentin Tolisso + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,76.8,4
Abner + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,4,4,2.25,76.8,4
Abner + Nicolás Tagliafico + Ruben Kluivert + Tanner Tessmann,4,4,2.25,76.8,4
Abner + Nicolás Tagliafico + Ruben Kluivert + Tyler Morton,4,4,2.25,76.8,4
Adam Karabec + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,4,4,2.25,76.8,4
Afonso Moreira + Ainsley Maitland-Niles + Pavel Šulc + Ruben Kluivert,4,4,2.25,76.8,4
Afonso Moreira + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,4,4,2.25,76.8,4
Afonso Moreira + Pavel Šulc + Ruben Kluivert + Tanner Tessmann,4,4,2.25,76.8,4
Ainsley Maitland-Niles + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,4,4,2.25,76.8,4
Clinton Mata + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,4,4,2.25,76.8,4
Corentin Tolisso + Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert,4,4,2.25,76.8,4
Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert + Tanner Tessmann,4,4,2.25,76.8,4
Nicolás Tagliafico + Pavel Šulc + Ruben Kluivert + Tyler Morton,4,4,2.25,76.8,4
Abner + Afonso Moreira + Khalis Merah + Ruben Kluivert,4,4,2.25,74.03,4
Afonso Moreira + Khalis Merah + Pavel Šulc + Ruben Kluivert,4,4,2.25,74.03,4
Adam Karabec + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,73.88,4
Afonso Moreira + Ainsley Maitland-Niles + Khalis Merah + Ruben Kluivert,4,4,2.25,73.88,4
Afonso Moreira + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,73.88,4
Afonso Moreira + Khalis Merah + Ruben Kluivert + Tanner Tessmann,4,4,2.25,73.88,4
Ainsley Maitland-Niles + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,73.88,4
Clinton Mata + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,73.88,4
Corentin Tolisso + Khalis Merah + Nicolás Tagliafico + Ruben Kluivert,4,4,2.25,73.88,4
Khalis Merah + Nicolás Tagliafico + Ruben Kluivert + Tanner Tessmann,4,4,2.25,73.88,4
Khalis Merah + Nicolás Tagliafico + Ruben Kluivert + Tyler Morton,4,4,2.25,73.88,4
Abner + Ainsley Maitland-Niles + Khalis Merah + Ruben Kluivert,4,4,2.25,73.8,4
Abner + Khalis Merah + Ruben Kluivert + Tanner Tessmann,4,4,2.25,73.8,4
Ainsley Maitland-Niles + Khalis Merah + Pavel Šulc + Ruben Kluivert,4,4,2.25,73.8,4
Khalis Merah + Pavel Šulc + Ruben Kluivert + Tanner Tessmann,4,4,2.25,73.8,4
Ainsley Maitland-Niles + Martin Satriano + Mathys De Carvalho + Tyler Morton,4,5,2.2,75.05,4
Martin Satriano + Mathys De Carvalho + Nicolás Tagliafico + Tyler Morton,4,5,2.2,75.05,4
Abner + Adam Karabec + Afonso Moreira + Nicolás Tagliafico,4,6,2.17,75.39,4
Abner + Adam Karabec + Ainsley Maitland-Niles + Nicolás Tagliafico,4,6,2.17,75.39,4
Abner + Adam Karabec + Corentin Tolisso + Nicolás Tagliafico,4,6,2.17,75.39,4
Abner + Adam Karabec + Nicolás Tagliafico + Pavel Šulc,4,6,2.17,75.39,4
Abner + Adam Karabec + Nicolás Tagliafico + Tanner Tessmann,4,6,2.17,75.39,4
Abner + Adam Karabec + Nicolás Tagliafico + Tyler Morton,4,6,2.17,75.39,4
Abner + Afonso Moreira + Nicolás Tagliafico + Tanner Tessmann,4,6,2.17,75.39,4
Abner + Afonso Moreira + Tanner Tessmann + Tyler Morton,4,6,2.17,75.39,4
Abner + Ainsley Maitland-Niles + Nicolás Tagliafico + Tanner Tessmann,4,6,2.17,75.39,4
Abner + Corentin Tolisso + Nicolás Tagliafico + Tanner Tessmann,4,6,2.17,75.39,4
Abner + Nicolás Tagliafico + Pavel Šulc + Tanner Tessmann,4,6,2.17,75.39,4
Abner + Nicolás Tagliafico + Tanner Tessmann + Tyler Morton,4,6,2.17,75.39,4
Abner + Afonso Moreira + Moussa Niakhate + Nicolás Tagliafico,4,6,2.17,75.19,4
Abner + Ainsley Maitland-Niles + Moussa Niakhate + Nicolás Tagliafico,4,6,2.17,75.19,4
Abner + Corentin Tolisso + Moussa Niakhate + Nicolás Tagliafico,4,6,2.17,75.19,4
Abner + Moussa Niakhate + Nicolás Tagliafico + Pavel Šulc,4,6,2.17,75.19,4
Abner + Moussa Niakhate + Nicolás Tagliafico + Tyler Morton,4,6,2.17,75.19,4
Abner + Afonso Moreira + Clinton Mata + Nicolás Tagliafico,4,6,2.17,74.79,4
Abner + Ainsley Maitland-Niles + Clinton Mata + Nicolás Tagliafico,4,6,2.17,74.79,4
Abner + Clinton Mata + Corentin Tolisso + Nicolás Tagliafico,4,6,2.17,74.79,4
Abner + Clinton Mata + Nicolás Tagliafico + Pavel Šulc,4,6,2.17,74.79,4
Abner + Clinton Mata + Nicolás Tagliafico + Tyler Morton,4,6,2.17,74.79,4
Abner + Adam Karabec + Afonso Moreira + Khalis Merah,4,6,2.17,73.09,4
Abner + Afonso Moreira + Corentin Tolisso + Khalis Merah,4,6,2.17,73.09,4
Abner + Afonso Moreira + Khalis Merah + Pavel Šulc,4,6,2.17,73.09,4
Abner + Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso,4,8,2.12,73.9,4
Abner + Afonso Moreira + Ainsley Maitland-Niles + Pavel Šulc,4,8,2.12,73.9,4
Abner + Adam Karabec + Moussa Niakhate + Nicolás Tagliafico,4,5,2.0,71.97,4
Abner + Moussa Niakhate + Nicolás Tagliafico + Tanner Tessmann,4,5,2.0,71.97,4
Afonso Moreira + Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer,4,4,2.0,71.66,4
Afonso Moreira + Ainsley Maitland-Niles + Dominik Greif + Hans Hateboer,4,4,2.0,71.66,4
Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer + Martin Satriano,4,4,2.0,71.66,4
Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer + Mathys De Carvalho,4,4,2.0,71.66,4
Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer + Moussa Niakhate,4,4,2.0,71.66,4
Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer + Nicolás Tagliafico,4,4,2.0,71.66,4
Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer + Pavel Šulc,4,4,2.0,71.66,4
Afonso Moreira + Ainsley Maitland-Niles + Hans Hateboer + Tyler Morton,4,4,2.0,71.66,4
Afonso Moreira + Corentin Tolisso + Hans Hateboer + Nicolás Tagliafico,4,4,2.0,71.66,4
Afonso Moreira + Dominik Greif + Hans Hateboer + Nicolás Tagliafico,4,4,2.0,71.66,4
Afonso Moreira + Hans Hateboer + Martin Satriano + Nicolás Tagliafico,4,4,2.0,71.66,4
Afonso Moreira + Hans Hateboer + Mathys De Carvalho + Nicolás Tagliafico,4,4,2.0,71.66,4
Afonso Moreira + Hans Hateboer + Moussa Niakhate + Nicolás Tagliafico,4,4,2.0,71.66,4
Afonso Moreira + Hans Hateboer + Nicolás Tagliafico + Pavel Šulc,4,4,2.0,71.66,4
Afonso Moreira + Hans Hateboer + Nicolás Tagliafico + Tyler Morton,4,4,2.0,71.66,4
Ainsley Maitland-Niles + Corentin Tolisso + Dominik Greif + Hans Hateboer,4,4,2.0,71.66,4
Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer + Martin Satriano,4,4,2.0,71.66,4
Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer + Mathys De Carvalho,4,4,2.0,71.66,4
Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer + Moussa Niakhate,4,4,2.0,71.66,4
Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer + Nicolás Tagliafico,4,4,2.0,71.66,4
Ainsley Maitland-Niles + Corentin Tolisso + Hans Hateboer + Pavel Šulc,4,4,2.0,71.66,4
